v8-version,6,1,534,47,0
shared-library,"/Users/jdogg5566/code/school/cs263/emsdk/node/8.9.1_64bit/bin/node",0x100001400,0x100bba6da,0
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff50d59860,0x7fff50f4c9ac,690225152
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff76e0394a,0x7fff76e03b2e,690225152
shared-library,"/usr/lib/libc++.1.dylib",0x7fff77037f40,0x7fff7707f2b0,690225152
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff76a8cf08,0x7fff76a8d90c,690225152
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff77b61fd0,0x7fff77d192e6,690225152
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff784b2000,0x7fff784d365a,690225152
shared-library,"/usr/lib/libz.1.dylib",0x7fff78ec82d0,0x7fff78ed3be5,690225152
shared-library,"/usr/lib/system/libcache.dylib",0x7fff78f75b08,0x7fff78f7856d,690225152
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff78f7ac14,0x7fff78f83de1,690225152
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff78f85ef4,0x7fff78f8aa8b,690225152
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff78f8e09c,0x7fff78f952dc,690225152
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff78f97e80,0x7fff78ffcab9,690225152
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff790a5a58,0x7fff790d09ce,690225152
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff790df014,0x7fff790f7410,690225152
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff790fca51,0x7fff790fce80,690225152
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff7910afc0,0x7fff7910afc0,690225152
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff7910b6e8,0x7fff7910f9dc,690225152
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7911126e,0x7fff79112b42,690225152
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff79113944,0x7fff79114c73,690225152
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff79116748,0x7fff7912b150,690225152
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7912d85d,0x7fff7912dd0e,690225152
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff7912f100,0x7fff791b018f,690225152
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff791b8e04,0x7fff791bb6c0,690225152
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff791bd2d0,0x7fff791bf3eb,690225152
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff791c0fda,0x7fff791c1c44,690225152
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff791c2f3c,0x7fff791c74cd,690225152
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff791ca1f0,0x7fff7920f41e,690225152
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff7923b140,0x7fff7926b143,690225152
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff79287250,0x7fff792a031f,690225152
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff792a7e50,0x7fff793a9068,690225152
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff793d7cff,0x7fff793df82e,690225152
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff793e3148,0x7fff793eb83e,690225152
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff79401040,0x7fff7940352d,690225152
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff79404a1f,0x7fff79405588,690225152
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff79213f10,0x7fff7923175d,690225152
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff793ec820,0x7fff793f238d,690225152
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff793f4f78,0x7fff793fd10e,690225152
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff79406938,0x7fff7940c31e,690225152
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff7940f094,0x7fff7941ec8d,690225152
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff7942396c,0x7fff794282a7,690225152
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff7942ad08,0x7fff7944b92a,690225152
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff768c8e80,0x7fff768f3689,690225152
shared-library,"/usr/lib/libc++abi.dylib",0x7fff7708f600,0x7fff770add64,690225152
tick,0x10495f9c5,1388,0,0x0,4
profiler,"begin",1000
tick,0x100a04dc1,2482,0,0x0,4
tick,0x1000c5850,3733,0,0x0,4
tick,0x7fff7922f86a,5007,0,0x0,4
tick,0x1000d2685,6158,0,0x0,4
tick,0x10055c120,7290,0,0x0,4
tick,0x100652000,8468,0,0x0,4
tick,0x10086faec,9740,0,0x0,4
tick,0x7fff793f1053,11022,0,0x0,4
tick,0x1001f7350,12319,0,0x0,4
tick,0x7fff793f104f,13580,0,0x0,4
code-creation,Stub,3,14461,0x9d76a904000,342,"JSEntryStub"
code-creation,Stub,3,14492,0x9d76a904160,342,"JSEntryStub"
code-creation,Builtin,5,14533,0x9d76a9042c0,134,"EmptyFunction"
code-creation,Stub,3,14554,0x9d76a904360,382,"CEntryStub"
code-creation,Builtin,5,14569,0x9d76a9044e0,139,"ConstructedNonConstructable"
code-creation,Stub,3,14588,0x9d76a904580,382,"CEntryStub"
code-creation,Builtin,5,14603,0x9d76a904700,923,"CompileLazy"
code-creation,Stub,3,14619,0x9d76a904aa0,1358,"RecordWriteStub"
code-creation,Stub,3,14634,0x9d76a905000,168,"StoreBufferOverflowStub"
code-creation,Stub,3,14649,0x9d76a9050c0,1386,"RecordWriteStub"
code-creation,Builtin,5,14664,0x9d76a905640,366,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,14680,0x9d76a9057c0,1085,"FastNewObject"
code-creation,Builtin,5,14695,0x9d76a905c00,327,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,14710,0x9d76a905d60,2266,"RecordWriteStub"
code-creation,Stub,3,14724,0x9d76a906640,388,"StoreBufferOverflowStub"
code-creation,Stub,3,14738,0x9d76a9067e0,2317,"RecordWriteStub"
code-creation,Stub,3,14753,0x9d76a907100,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,14767,0x9d76a907180,2295,"RecordWriteStub"
code-creation,Stub,3,14782,0x9d76a907a80,2265,"RecordWriteStub"
code-creation,Stub,3,14796,0x9d76a908360,2257,"RecordWriteStub"
code-creation,Stub,3,14815,0x9d76a908c40,2269,"RecordWriteStub"
code-creation,Stub,3,14847,0x9d76a909520,2284,"RecordWriteStub"
tick,0x7fff792302c2,14876,0,0x0,4
code-creation,Stub,3,14916,0x9d76a909e20,2254,"RecordWriteStub"
code-creation,Stub,3,14939,0x9d76a90a700,2250,"RecordWriteStub"
code-creation,Stub,3,14955,0x9d76a90afe0,2254,"RecordWriteStub"
code-creation,Stub,3,14970,0x9d76a90b8c0,2253,"RecordWriteStub"
code-creation,Handler,4,14984,0x9d76a90c1a0,732,"An IC handler from the snapshot"
code-creation,Stub,3,14999,0x9d76a90c480,2266,"RecordWriteStub"
code-creation,Stub,3,15013,0x9d76a90cd60,2292,"RecordWriteStub"
code-creation,Stub,3,15028,0x9d76a90d660,699,"TransitionElementsKindStub"
code-creation,Stub,3,15041,0x9d76a90d920,980,"RecordWriteStub"
code-creation,Stub,3,15056,0x9d76a90dd00,2254,"RecordWriteStub"
code-creation,Stub,3,15070,0x9d76a90e5e0,404,"CEntryStub"
code-creation,Stub,3,15085,0x9d76a90e780,980,"RecordWriteStub"
code-creation,Stub,3,15099,0x9d76a90eb60,992,"RecordWriteStub"
code-creation,Stub,3,15113,0x9d76a90ef40,2288,"RecordWriteStub"
code-creation,Stub,3,15128,0x9d76a90f840,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,15142,0x9d76a90f980,1373,"RecordWriteStub"
code-creation,Stub,3,15156,0x9d76a90fee0,2253,"RecordWriteStub"
code-creation,Stub,3,15171,0x9d76a9107c0,2253,"RecordWriteStub"
code-creation,Stub,3,15187,0x9d76a9110a0,2265,"RecordWriteStub"
code-creation,Stub,3,15203,0x9d76a911980,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,15218,0x9d76a911b60,1019,"CallICStub"
code-creation,Builtin,5,15233,0x9d76a911f60,384,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,15247,0x9d76a9120e0,459,"ToObject"
code-creation,Stub,3,15261,0x9d76a9122c0,2250,"RecordWriteStub"
code-creation,Stub,3,15276,0x9d76a912ba0,433,"ArrayConstructorStub"
code-creation,Stub,3,15290,0x9d76a912d60,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,15305,0x9d76a912ec0,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,15319,0x9d76a913020,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,15333,0x9d76a913160,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,15347,0x9d76a9132a0,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,15362,0x9d76a9133e0,121,"Abort"
code-creation,Stub,3,15376,0x9d76a913460,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,15433,0x9d76a913660,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,15450,0x9d76a913840,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,15466,0x9d76a913a20,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,15481,0x9d76a913be0,423,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,15497,0x9d76a913da0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,15511,0x9d76a913ee0,423,"ArraySingleArgumentConstructorStub"
code-creation,Builtin,5,15526,0x9d76a9140a0,233,"Call_ReceiverIsAny"
code-creation,Builtin,5,15541,0x9d76a9141a0,249,"CallBoundFunction"
code-creation,Builtin,5,15556,0x9d76a9142a0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
