v8-version,6,1,534,47,0
shared-library,"/Users/jdogg5566/code/school/cs263/emsdk/node/8.9.1_64bit/bin/node",0x100001400,0x100bba6da,0
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff48f57860,0x7fff4914a9ac,558096384
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff6f00194a,0x7fff6f001b2e,558096384
shared-library,"/usr/lib/libc++.1.dylib",0x7fff6f235f40,0x7fff6f27d2b0,558096384
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff6ec8af08,0x7fff6ec8b90c,558096384
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff6fd5ffd0,0x7fff6ff172e6,558096384
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff706b0000,0x7fff706d165a,558096384
shared-library,"/usr/lib/libz.1.dylib",0x7fff710c62d0,0x7fff710d1be5,558096384
shared-library,"/usr/lib/system/libcache.dylib",0x7fff71173b08,0x7fff7117656d,558096384
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff71178c14,0x7fff71181de1,558096384
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff71183ef4,0x7fff71188a8b,558096384
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7118c09c,0x7fff711932dc,558096384
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff71195e80,0x7fff711faab9,558096384
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff712a3a58,0x7fff712ce9ce,558096384
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff712dd014,0x7fff712f5410,558096384
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff712faa51,0x7fff712fae80,558096384
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff71308fc0,0x7fff71308fc0,558096384
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff713096e8,0x7fff7130d9dc,558096384
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff7130f26e,0x7fff71310b42,558096384
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff71311944,0x7fff71312c73,558096384
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff71314748,0x7fff71329150,558096384
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7132b85d,0x7fff7132bd0e,558096384
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff7132d100,0x7fff713ae18f,558096384
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff713b6e04,0x7fff713b96c0,558096384
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff713bb2d0,0x7fff713bd3eb,558096384
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff713befda,0x7fff713bfc44,558096384
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff713c0f3c,0x7fff713c54cd,558096384
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff713c81f0,0x7fff7140d41e,558096384
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff71439140,0x7fff71469143,558096384
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff71485250,0x7fff7149e31f,558096384
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff714a5e50,0x7fff715a7068,558096384
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff715d5cff,0x7fff715dd82e,558096384
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff715e1148,0x7fff715e983e,558096384
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff715ff040,0x7fff7160152d,558096384
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff71602a1f,0x7fff71603588,558096384
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff71411f10,0x7fff7142f75d,558096384
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff715ea820,0x7fff715f038d,558096384
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff715f2f78,0x7fff715fb10e,558096384
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff71604938,0x7fff7160a31e,558096384
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff7160d094,0x7fff7161cc8d,558096384
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff7162196c,0x7fff716262a7,558096384
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff71628d08,0x7fff7164992a,558096384
shared-library,"/usr/lib/closure/libclosured.dylib",0x7fff6eac6e80,0x7fff6eaf1689,558096384
shared-library,"/usr/lib/libc++abi.dylib",0x7fff6f28d600,0x7fff6f2abd64,558096384
profiler,"begin",1000
tick,0x7fff7142420a,1260,0,0x0,4
tick,0x7fff7142d6ea,2891,0,0x0,4
tick,0x7fff715ef04f,4158,0,0x0,4
tick,0x7fff715ef02c,5424,0,0x0,4
tick,0x100870c31,6689,0,0x0,4
code-creation,Stub,3,7170,0x6c2ebd04000,342,"JSEntryStub"
code-creation,Stub,3,7203,0x6c2ebd04160,342,"JSEntryStub"
code-creation,Builtin,5,7224,0x6c2ebd042c0,134,"EmptyFunction"
code-creation,Stub,3,7243,0x6c2ebd04360,382,"CEntryStub"
code-creation,Builtin,5,7256,0x6c2ebd044e0,139,"ConstructedNonConstructable"
code-creation,Stub,3,7268,0x6c2ebd04580,382,"CEntryStub"
code-creation,Builtin,5,7277,0x6c2ebd04700,923,"CompileLazy"
code-creation,Stub,3,7286,0x6c2ebd04aa0,1358,"RecordWriteStub"
code-creation,Stub,3,7295,0x6c2ebd05000,168,"StoreBufferOverflowStub"
code-creation,Stub,3,7303,0x6c2ebd050c0,1386,"RecordWriteStub"
code-creation,Builtin,5,7312,0x6c2ebd05640,366,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,7321,0x6c2ebd057c0,1085,"FastNewObject"
code-creation,Builtin,5,7329,0x6c2ebd05c00,327,"ArgumentsAdaptorTrampoline"
code-creation,Stub,3,7338,0x6c2ebd05d60,2266,"RecordWriteStub"
code-creation,Stub,3,7347,0x6c2ebd06640,388,"StoreBufferOverflowStub"
code-creation,Stub,3,7355,0x6c2ebd067e0,2317,"RecordWriteStub"
code-creation,Stub,3,7364,0x6c2ebd07100,123,"ArrayNArgumentsConstructorStub"
code-creation,Stub,3,7373,0x6c2ebd07180,2295,"RecordWriteStub"
code-creation,Stub,3,7382,0x6c2ebd07a80,2265,"RecordWriteStub"
code-creation,Stub,3,7390,0x6c2ebd08360,2257,"RecordWriteStub"
code-creation,Stub,3,7399,0x6c2ebd08c40,2269,"RecordWriteStub"
code-creation,Stub,3,7408,0x6c2ebd09520,2284,"RecordWriteStub"
code-creation,Stub,3,7417,0x6c2ebd09e20,2254,"RecordWriteStub"
code-creation,Stub,3,7425,0x6c2ebd0a700,2250,"RecordWriteStub"
code-creation,Stub,3,7434,0x6c2ebd0afe0,2254,"RecordWriteStub"
code-creation,Stub,3,7443,0x6c2ebd0b8c0,2253,"RecordWriteStub"
code-creation,Handler,4,7452,0x6c2ebd0c1a0,732,"An IC handler from the snapshot"
code-creation,Stub,3,7461,0x6c2ebd0c480,2266,"RecordWriteStub"
code-creation,Stub,3,7469,0x6c2ebd0cd60,2292,"RecordWriteStub"
code-creation,Stub,3,7478,0x6c2ebd0d660,699,"TransitionElementsKindStub"
code-creation,Stub,3,7487,0x6c2ebd0d920,980,"RecordWriteStub"
code-creation,Stub,3,7495,0x6c2ebd0dd00,2254,"RecordWriteStub"
code-creation,Stub,3,7504,0x6c2ebd0e5e0,404,"CEntryStub"
code-creation,Stub,3,7513,0x6c2ebd0e780,980,"RecordWriteStub"
code-creation,Stub,3,7522,0x6c2ebd0eb60,992,"RecordWriteStub"
code-creation,Stub,3,7530,0x6c2ebd0ef40,2288,"RecordWriteStub"
code-creation,Stub,3,7539,0x6c2ebd0f840,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,7548,0x6c2ebd0f980,1373,"RecordWriteStub"
code-creation,Stub,3,7556,0x6c2ebd0fee0,2253,"RecordWriteStub"
code-creation,Stub,3,7565,0x6c2ebd107c0,2253,"RecordWriteStub"
code-creation,Stub,3,7574,0x6c2ebd110a0,2265,"RecordWriteStub"
code-creation,Stub,3,7583,0x6c2ebd11980,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,7591,0x6c2ebd11b60,1019,"CallICStub"
code-creation,Builtin,5,7600,0x6c2ebd11f60,384,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,7609,0x6c2ebd120e0,459,"ToObject"
code-creation,Stub,3,7618,0x6c2ebd122c0,2250,"RecordWriteStub"
code-creation,Stub,3,7626,0x6c2ebd12ba0,433,"ArrayConstructorStub"
code-creation,Stub,3,7635,0x6c2ebd12d60,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,7644,0x6c2ebd12ec0,347,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,7652,0x6c2ebd13020,311,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,7661,0x6c2ebd13160,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,7669,0x6c2ebd132a0,299,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,7678,0x6c2ebd133e0,121,"Abort"
code-creation,Stub,3,7687,0x6c2ebd13460,511,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,7695,0x6c2ebd13660,479,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,7704,0x6c2ebd13840,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,7713,0x6c2ebd13a20,439,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,7721,0x6c2ebd13be0,423,"ArraySingleArgumentConstructorStub"
